iter	Logloss
0	0.6771240397
1	0.6635291721
2	0.6529117947
3	0.643394439
4	0.6360850857
5	0.6299665799
6	0.6244775499
7	0.6200850586
8	0.6152843913
9	0.611944656
10	0.6084609484
11	0.6055745822
12	0.6022144857
13	0.599887424
14	0.5972719727
15	0.595041352
16	0.592666135
17	0.5901721191
18	0.5885328559
19	0.5865303494
20	0.585153342
21	0.5837456
22	0.5822332303
23	0.5810748101
24	0.5794549805
25	0.5783701931
26	0.5772554362
27	0.5762124078
28	0.575176123
29	0.5741463487
30	0.5731341309
31	0.5720889052
32	0.5712358941
33	0.5702503526
34	0.5695789442
35	0.5684008735
36	0.5675795085
37	0.566670638
38	0.5657778429
39	0.5650880588
40	0.5644582682
41	0.563687462
42	0.5629933214
43	0.5624841905
44	0.5618022949
45	0.5611884603
46	0.560719439
47	0.5601764052
48	0.5596182509
49	0.5590366808
50	0.5585686578
51	0.5581517741
52	0.5577796278
53	0.5573839735
54	0.5569971897
55	0.5565208008
56	0.5561161187
57	0.5557004883
58	0.5551002007
59	0.554579796
60	0.5542657606
61	0.5539405219
62	0.5535371745
63	0.5532533203
64	0.5529272027
65	0.5525843099
66	0.5522055773
67	0.5518838542
68	0.5515876139
69	0.5512976888
70	0.5510035862
71	0.5506305501
72	0.5502672689
73	0.5499577311
74	0.5495744249
75	0.5492443685
76	0.5488394857
77	0.5485497667
78	0.5482557834
79	0.5478823188
80	0.5475940918
81	0.5473354058
82	0.5470070747
83	0.5468172743
84	0.5464830349
85	0.5461198242
86	0.5459367405
87	0.5457036621
88	0.5455155056
89	0.545255051
90	0.5450532715
91	0.5448384874
92	0.5445623427
93	0.5443285753
94	0.5441039931
95	0.5438423557
96	0.5435731879
97	0.5433991157
98	0.5431518826
99	0.5430015191
100	0.5427636936
101	0.542599094
102	0.5423875597
103	0.5422316461
104	0.542050727
105	0.541757666
106	0.5413579698
107	0.541202691
108	0.541030013
109	0.5407798123
110	0.5405462836
111	0.5402214789
112	0.5400465712
113	0.5398430556
114	0.5395765896
115	0.5393940701
116	0.5392517415
117	0.5391539714
118	0.5389159993
119	0.5387719781
120	0.5386098958
121	0.538494694
122	0.5383478407
123	0.5381525987
124	0.5379815538
125	0.5378453722
126	0.5376361165
127	0.5374315213
128	0.5372688477
129	0.5371121962
130	0.5370154297
131	0.5367401855
132	0.5365408854
133	0.5364279731
134	0.5362960069
135	0.5361630534
136	0.5359922255
137	0.5358223362
138	0.5356365234
139	0.5354351617
140	0.5352709581
141	0.5351035482
142	0.5349213325
143	0.5347614095
144	0.5346105632
145	0.5343974881
146	0.5342855197
147	0.5341291667
148	0.5340228516
149	0.5338810872
150	0.5337479926
151	0.5336071615
152	0.5334938585
153	0.5333775933
154	0.5332487359
155	0.5331338867
156	0.5330014757
157	0.5328425184
158	0.5327505914
159	0.5326186089
160	0.532439247
161	0.5323009006
162	0.532168202
163	0.5320453179
164	0.5319477376
165	0.5318298177
166	0.5317175944
167	0.5315797146
168	0.5314587728
169	0.5313453179
170	0.5312445367
171	0.5311165853
172	0.531006326
173	0.5308638618
174	0.5307393283
175	0.5306477593
176	0.5305300076
177	0.5303873264
178	0.5302676921
179	0.530174311
180	0.5300389757
181	0.5299327908
182	0.5298134006
183	0.5296730957
184	0.5295256673
185	0.5293433105
186	0.5292587945
187	0.5291355686
188	0.5289904243
189	0.5288224935
190	0.5287386882
191	0.5286094021
192	0.5284922526
193	0.5283575629
194	0.5282644803
195	0.5281584907
196	0.5280750814
197	0.5279753309
198	0.5278780924
199	0.5278043403
200	0.5277028809
201	0.5276039931
202	0.5274889486
203	0.527360178
204	0.5272597819
205	0.5271800944
206	0.5271166395
207	0.5270219998
208	0.5269337674
209	0.5268779622
210	0.5267876845
211	0.5267088379
212	0.5266107368
213	0.5264843587
214	0.526422819
215	0.5263539171
216	0.5262619792
217	0.5260946343
218	0.5260020345
219	0.5259210829
220	0.5257544108
221	0.5256557671
222	0.525561263
223	0.5254947754
224	0.5253997667
225	0.5252946072
226	0.5252038249
227	0.5251182943
228	0.5249854709
229	0.5248962945
230	0.5248176758
231	0.5247679362
232	0.524666428
233	0.524582194
234	0.5244926595
235	0.5244048503
236	0.5243294162
237	0.5242568793
238	0.5241760145
239	0.5240604384
240	0.5239558105
241	0.5238574599
242	0.523788992
243	0.5237249566
244	0.5236563694
245	0.5235386827
246	0.523442334
247	0.5232884386
248	0.5231957682
249	0.5231367188
250	0.5230289388
251	0.5229058105
252	0.5228037489
253	0.5227134277
254	0.5226518338
255	0.5225798448
256	0.5225239041
257	0.5224156793
258	0.5223314128
259	0.5222236708
260	0.5220965603
261	0.5220241048
262	0.5219139486
263	0.5218478516
264	0.5217780979
265	0.5217138672
266	0.5216324707
267	0.5215667318
268	0.5214836155
269	0.5213936089
270	0.5213290582
271	0.5212508409
272	0.5211466146
273	0.5210892361
274	0.5209936469
275	0.5209002387
276	0.5208336697
277	0.5207725911
278	0.5207055013
279	0.5206088379
280	0.520523508
281	0.5204322483
282	0.5203057237
283	0.5201936089
284	0.5201118598
285	0.5200419651
286	0.5199445747
287	0.5198704047
288	0.5198027289
289	0.5197219021
290	0.5196467611
291	0.5195892904
292	0.5195368869
293	0.5194729004
294	0.5193928331
295	0.519325255
296	0.5192590929
297	0.5192008355
298	0.5191424099
299	0.5190730197
300	0.5190078613
301	0.5189441406
302	0.5188567437
303	0.5187983073
304	0.5187268609
305	0.5186782064
306	0.5186109104
307	0.5185195258
308	0.5184533963
309	0.5183652669
310	0.5182951769
311	0.5181893446
312	0.5181546332
313	0.5181065213
314	0.5180195095
315	0.5179541178
316	0.5178766059
317	0.5177942871
318	0.5176995009
319	0.5176489855
320	0.5175793294
321	0.5175156359
322	0.5174365831
323	0.5173270725
324	0.5172518989
325	0.5171938911
326	0.5171303765
327	0.5170742133
328	0.5170101291
