iter	Passed	Remaining
360	36446	64512
361	36503	64335
362	36563	64162
363	36618	63982
364	36674	63803
365	36731	63628
366	36793	63460
367	36849	63285
368	36908	63114
369	36982	62970
370	37093	62889
371	37233	62856
372	37340	62768
373	37432	62653
374	37493	62489
375	37567	62346
376	37630	62185
377	37698	62032
378	37760	61871
379	37835	61731
380	37928	61621
381	38013	61497
382	38118	61407
383	38209	61295
384	38303	61186
385	38406	61092
386	38499	60982
387	38616	60911
388	38734	60839
389	38832	60737
390	38924	60627
391	39018	60519
392	39130	60438
393	39230	60339
394	39321	60226
395	39432	60143
396	39616	60173
397	39829	60244
398	39963	60195
399	40081	60121
400	40190	60034
401	40309	59962
402	40411	59865
403	40496	59742
404	40578	59615
405	40678	59515
406	40770	59402
407	40874	59308
408	40952	59176
409	41044	59063
410	41144	58963
411	41232	58846
412	41317	58724
413	41418	58626
414	41510	58515
415	41626	58437
416	41714	58319
417	41811	58216
418	41931	58143
419	42039	58054
420	42133	57945
421	42236	57849
422	42348	57765
423	42431	57642
424	42519	57526
425	42615	57421
426	42703	57304
427	42789	57186
428	42872	57062
429	42976	56968
430	43080	56874
431	43170	56761
432	43257	56644
433	43349	56533
434	43575	56598
435	43724	56560
436	43819	56453
437	43913	56345
438	44011	56242
439	44109	56139
440	44272	56118
441	44419	56077
442	44530	55990
443	44638	55898
444	44736	55795
445	44849	55709
446	44954	55614
447	45068	55530
448	45230	55505
449	45331	55405
450	45448	55324
451	45554	55229
452	45650	55123
453	45742	55012
454	45833	54899
455	45931	54795
456	46035	54698
457	46136	54598
458	46249	54512
459	46352	54413
460	46457	54317
461	46547	54205
462	46658	54115
463	46764	54021
464	46864	53918
465	46962	53814
466	47064	53716
467	47226	53684
468	47482	53759
469	47601	53677
470	47702	53576
471	47803	53475
472	47924	53395
473	48079	53354
474	48177	53248
475	48285	53154
476	48391	53057
477	48463	52924
478	48521	52776
479	48583	52632
480	48656	52500
481	48727	52366
482	48795	52230
483	48856	52086
484	48923	51949
485	48995	51817
486	49063	51682
487	49124	51539
488	49195	51408
489	49260	51271
490	49342	51150
491	49433	51040
492	49503	50908
493	49569	50773
494	49631	50633
495	49690	50492
496	49749	50350
497	49810	50210
498	49870	50070
499	49927	49927
500	49985	49785
501	50045	49646
502	50136	49538
503	50206	49409
504	50285	49289
505	50374	49180
506	50464	49071
507	50527	48936
508	50591	48802
509	50657	48671
510	50725	48542
511	50820	48438
512	50901	48321
513	50977	48200
514	51062	48087
515	51144	47972
516	51226	47857
517	51348	47780
518	51448	47681
519	51547	47582
520	51622	47460
521	51688	47331
522	51750	47198
523	51826	47078
524	51912	46968
525	51983	46844
526	52055	46721
527	52119	46591
528	52200	46477
529	52264	46347
530	52336	46225
531	52419	46113
532	52500	45999
533	52564	45870
534	52626	45740
535	52700	45621
536	52773	45501
537	52849	45383
538	52926	45267
539	52992	45142
540	53076	45031
541	53139	44904
542	53209	44782
543	53297	44676
544	53412	44592
545	53495	44481
546	53615	44402
547	53742	44328
548	53832	44223
549	53947	44138
550	54147	44124
551	54527	44254
552	54685	44203
553	54803	44119
554	54879	44002
555	54999	43920
556	55120	43839
557	55264	43775
558	55380	43689
559	55511	43616
560	55631	43533
561	55740	43441
562	55827	43333
563	55908	43220
564	56011	43124
565	56102	43018
566	56189	42909
567	56300	42820
568	56437	42749
569	56549	42659
570	56657	42567
571	56770	42478
572	56905	42406
573	57053	42343
574	57151	42242
575	57252	42144
576	57439	42109
577	57595	42050
578	57737	41981
579	57848	41890
580	57983	41815
581	58100	41728
582	58267	41676
583	58525	41689
584	58661	41614
585	58764	41516
586	58944	41471
587	59130	41431
588	59279	41364
589	59378	41262
590	59515	41187
591	59608	41081
592	59689	40967
593	59782	40861
594	59867	40750
595	59945	40633
596	60021	40517
597	60104	40404
598	60189	40293
599	60267	40178
600	60355	40069
601	60430	39952
602	60517	39843
603	60610	39738
604	60692	39625
605	60776	39514
606	60862	39405
607	60940	39290
608	61008	39169
609	61086	39055
610	61154	38934
611	61224	38815
612	61307	38704
613	61396	38598
614	61463	38477
615	61539	38362
616	61626	38254
617	61692	38133
618	61772	38021
619	61877	37924
620	61952	37810
621	62050	37709
622	62130	37597
623	62236	37501
624	62317	37390
625	62416	37290
626	62515	37190
627	62617	37092
628	62762	37018
629	62884	36932
630	63008	36846
631	63185	36791
632	63292	36695
633	63437	36621
634	63660	36592
635	63850	36543
636	64036	36491
637	64201	36427
638	64386	36374
639	64520	36292
640	64799	36291
641	65072	36286
642	65174	36185
643	65352	36126
644	65459	36027
645	65627	35962
646	65771	35884
647	65957	35828
648	66073	35734
649	66249	35672
650	66423	35609
651	66541	35516
652	66779	35486
653	66947	35418
654	67110	35348
655	67287	35285
656	67477	35228
657	67661	35167
658	67871	35120
659	68038	35050
660	68135	34944
661	68234	34838
662	68331	34732
663	68408	34616
664	68480	34497
665	68558	34382
666	68638	34267
667	68719	34154
668	68833	34056
669	68934	33952
670	69020	33841
671	69109	33731
672	69205	33625
673	69317	33527
674	69499	33462
675	69644	33379
676	69795	33299
677	69982	33236
678	70145	33161
679	70310	33087
680	70491	33020
681	70638	32936
682	70777	32849
683	70984	32794
684	71111	32700
685	71255	32615
686	71390	32525
687	71515	32431
688	71636	32335
689	71762	32240
690	71905	32154
691	72055	32071
692	72146	31961
693	72253	31857
694	72357	31753
695	72442	31641
696	72533	31531
697	72618	31419
698	72729	31318
699	72859	31225
700	72985	31130
701	73200	31073
702	73512	31057
703	73679	30978
704	73952	30944
705	74169	30886
706	74297	30790
707	74412	30689
708	74543	30595
709	74669	30498
710	74769	30391
711	74872	30285
712	74971	30177
713	75079	30073
714	75201	29975
715	75315	29873
716	75467	29787
717	75584	29686
718	75693	29582
719	75839	29493
720	75935	29384
721	76034	29276
722	76137	29170
723	76262	29072
724	76361	28964
725	76483	28865
726	76586	28759
727	76684	28651
728	76784	28544
729	76897	28441
730	76999	28334
731	77091	28224
732	77173	28111
733	77271	28003
734	77396	27904
735	77521	27806
736	77718	27734
737	77821	27627
738	77924	27521
739	78025	27414
740	78138	27311
741	78241	27205
742	78352	27101
743	78455	26995
744	78560	26889
745	78751	26813
746	78882	26716
747	78990	26611
748	79137	26519
749	79273	26424
750	79407	26328
751	79633	26262
752	79872	26199
753	80134	26144
754	80271	26048
755	80363	25937
756	80489	25837
757	80589	25729
758	80665	25613
759	80734	25495
760	80801	25376
761	80885	25263
762	80967	25149
763	81037	25032
764	81109	24915
765	81183	24800
766	81255	24683
767	81320	24565
768	81390	24448
769	81467	24334
770	81541	24219
771	81603	24100
772	81676	23985
773	81752	23870
774	81836	23758
775	81922	23647
776	82008	23536
777	82099	23426
778	82179	23314
779	82260	23201
780	82335	23087
781	82420	22976
782	82486	22860
783	82558	22745
784	82629	22630
785	82751	22530
786	82877	22430
787	82980	22324
788	83075	22216
789	83151	22103
790	83248	21996
791	83330	21884
792	83465	21787
793	83563	21680
794	83686	21579
795	83807	21478
796	84139	21430
797	84286	21335
798	84654	21296
799	85032	21258
800	85412	21219
801	85646	21144
802	85917	21078
803	86016	20969
804	86131	20864
805	86216	20751
806	86316	20643
807	86405	20531
808	86495	20421
809	86585	20310
810	86679	20200
811	86762	20087
812	86879	19983
813	86995	19878
814	87096	19770
815	87189	19660
816	87281	19550
817	87373	19439
818	87473	19331
819	87612	19232
820	87714	19124
821	87866	19027
822	88053	18937
823	88204	18839
824	88372	18745
825	88476	18637
826	88575	18529
827	88708	18427
828	88794	18315
829	88879	18204
830	88968	18093
831	89078	17987
832	89206	17884
833	89341	17782
834	89521	17689
835	89731	17602
836	89839	17495
837	89941	17387
838	90051	17280
839	90160	17173
840	90255	17063
841	90379	16959
842	90458	16846
843	90516	16730
844	90576	16614
845	90636	16498
846	90694	16382
847	90758	16267
848	90815	16152
849	90880	16037
850	90941	15922
851	91034	15813
852	91105	15700
853	91176	15587
854	91255	15476
855	91344	15366
856	91420	15254
857	91509	15144
858	91588	15033
859	91662	14921
860	91728	14808
861	91796	14695
862	91864	14583
863	91926	14469
864	91993	14357
865	92054	14243
866	92112	14130
867	92170	14016
868	92244	13905
869	92308	13793
870	92369	13680
871	92430	13567
872	92493	13455
873	92557	13343
874	92634	13233
875	92696	13121
876	92757	13009
877	92839	12900
878	92909	12789
879	92964	12676
880	93020	12564
881	93077	12452
882	93141	12341
883	93195	12229
884	93252	12117
885	93313	12006
886	93372	11895
887	93442	11785
888	93518	11676
889	93598	11568
890	93682	11460
891	93772	11353
892	93850	11245
893	93918	11135
894	93994	11027
895	94068	10918
896	94145	10810
897	94232	10703
898	94312	10595
899	94399	10488
900	94473	10380
901	94550	10272
902	94640	10166
903	94739	10060
904	94895	9961
905	95031	9859
906	95152	9756
907	95242	9650
908	95339	9544
909	95430	9438
910	95514	9331
911	95687	9232
912	95821	9130
913	95949	9028
914	96066	8924
915	96154	8817
916	96244	8711
917	96327	8604
918	96439	8500
919	96578	8398
920	96706	8295
921	96832	8191
922	96947	8087
923	97119	7988
924	97247	7884
925	97402	7783
926	97477	7676
927	97576	7570
928	97682	7465
929	97770	7359
930	97848	7251
931	97943	7146
932	98077	7043
933	98224	6940
934	98376	6839
935	98471	6733
936	98561	6626
937	98660	6521
938	98745	6414
939	98836	6308
940	98958	6204
941	99192	6107
942	99305	6002
943	99384	5895
944	99475	5789
945	99555	5682
946	99634	5576
947	99709	5469
948	99787	5362
949	99901	5257
950	99983	5151
951	100064	5045
952	100151	4939
953	100233	4833
954	100305	4726
955	100392	4620
956	100467	4514
957	100548	4408
958	100645	4302
959	100721	4196
960	100796	4090
961	100876	3984
962	100990	3880
963	101087	3775
964	101201	3670
965	101313	3565
966	101393	3460
967	101484	3354
968	101572	3249
969	101667	3144
970	101756	3039
971	101854	2934
972	101948	2829
973	102028	2723
974	102100	2617
975	102189	2512
976	102267	2407
977	102382	2303
978	102487	2198
979	102575	2093
980	102661	1988
981	102754	1883
982	102863	1778
983	102963	1674
984	103048	1569
985	103140	1464
986	103222	1359
987	103290	1254
988	103368	1149
989	103449	1044
990	103540	940
991	103632	835
992	103760	731
993	103879	627
994	104009	522
995	104256	418
996	104475	314
997	104709	209
998	104844	104
999	104990	0
